regime,M,seed,fold,n_train_groups,n_test_groups,balanced_acc,balanced_acc_3class,bal_acc_c2_vs_c3,mid_k_frac,abs_r_c1,abs_r_c2,abs_r_c3,abs_r_c4,ablation_acc_drop,confusion_flat,kbin_importance_flat,runtime_sec
per_sightline,1,44,1,52428,13108,0.29935916997253587,0.16061438307394973,0.15196826365578273,0.18839074700752695,0.04059960218769876,0.01688984885827734,0.004788468806164729,0.2070338543269084,-0.0019835215135795004,"0.177907,0.469332,0.251449,0.101312,0.468416,0.120842,0.311565,0.099176,0.317974,0.351846,0.183094,0.147086,0.094904,0.086359,0.103143,0.715594","0.050664,0.000000,0.049148,0.048897,0.046963,0.045888,0.045181,0.044809,0.044836,0.045015,0.044879,0.045968,0.047820,0.049724,0.052161,0.056532,0.062456,0.065672,0.077425,0.075961",12.20425271987915
per_sightline,1,44,2,52429,13107,0.2929286070116098,0.15451123995524363,0.1484589563625267,0.1898015178413444,0.10141460739179026,0.012781634249216462,0.011946636276422362,0.17543933750867305,-0.0037381518728787366,"0.166616,0.460787,0.270064,0.102533,0.453769,0.110467,0.320110,0.115655,0.314312,0.353982,0.186451,0.145255,0.104396,0.081807,0.105617,0.708181","0.049978,0.000000,0.048765,0.048581,0.047172,0.045792,0.045095,0.044786,0.044473,0.044940,0.045172,0.046295,0.048574,0.049761,0.052634,0.056758,0.061931,0.066398,0.077647,0.075250",12.022241115570068
per_sightline,1,44,3,52429,13107,0.2931172576618106,0.15463137152182013,0.1490968894462944,0.18932976406990798,0.07217348961967907,0.025930172796829184,0.012913309832493532,0.1358194958463963,-0.004653739777328414,"0.165700,0.442173,0.278303,0.113824,0.473909,0.117180,0.298444,0.110467,0.298230,0.367827,0.181013,0.152930,0.097650,0.078425,0.115349,0.708575","0.050721,0.000000,0.049178,0.048863,0.046915,0.045536,0.045299,0.044668,0.044525,0.044868,0.045134,0.046344,0.048460,0.049392,0.052165,0.056496,0.063012,0.066278,0.077217,0.074929",12.209563255310059
per_sightline,1,44,4,52429,13107,0.2928071170175229,0.15574363644244635,0.14603535091023648,0.18855181906718455,0.10029802672265364,0.03191190733003904,0.027275555638033386,0.23672102776669715,-0.005722674741594491,"0.175160,0.451022,0.265792,0.108026,0.475275,0.115690,0.304029,0.105006,0.318279,0.357949,0.176381,0.147391,0.104364,0.082698,0.108941,0.703998","0.050043,0.000000,0.048926,0.049296,0.047122,0.046015,0.045431,0.044916,0.044577,0.044952,0.044783,0.046070,0.048182,0.049516,0.052597,0.056596,0.062333,0.065883,0.077065,0.075694",12.208086013793945
per_sightline,1,44,5,52429,13107,0.28953003096655827,0.15371372656999754,0.1507476350320415,0.18843418750327973,0.08576552644915535,0.03403619549021244,0.004223246064435894,0.13877216712850346,-0.0005342346088454963,"0.159646,0.459402,0.271062,0.109890,0.461398,0.115960,0.319805,0.102838,0.312176,0.346964,0.185536,0.155325,0.106805,0.083003,0.113213,0.696979","0.050373,0.000000,0.049079,0.048690,0.046861,0.045608,0.045320,0.044531,0.044635,0.044676,0.045113,0.046472,0.047814,0.049034,0.052574,0.057336,0.063230,0.064790,0.078280,0.075584",12.338050127029419
per_sightline,1,45,1,52428,13108,0.28982300884955753,0.15227342081171805,0.14525480622520598,0.18861448819933302,0.07506096790207628,0.0374319093823676,0.006839056097459078,0.16121397967785445,-0.0012969179127250707,"0.166311,0.455600,0.264266,0.113824,0.469332,0.113213,0.303326,0.114129,0.319500,0.364052,0.177296,0.139152,0.100702,0.079036,0.117791,0.702472","0.050474,0.000000,0.049304,0.048675,0.047148,0.045532,0.044957,0.044789,0.044447,0.045005,0.044945,0.046277,0.048284,0.049108,0.051814,0.056979,0.063787,0.065539,0.077961,0.074973",12.19080114364624
per_sightline,1,45,2,52429,13107,0.2901050649753732,0.15440952090326518,0.1510527921879768,0.18903757843725771,0.10725982695700186,0.013175628298671723,0.01495210443742628,0.19621406884813683,-0.0019071157879518852,"0.161123,0.469942,0.260909,0.108026,0.456820,0.122673,0.324077,0.096430,0.321636,0.357034,0.179432,0.141898,0.097375,0.084249,0.121184,0.697192","0.050596,0.000000,0.048706,0.048943,0.047518,0.045688,0.045458,0.045020,0.044544,0.044963,0.044912,0.046235,0.048304,0.049586,0.052024,0.057182,0.063122,0.065974,0.076692,0.074534",12.205329656600952
per_sightline,1,45,3,52429,13107,0.2973899934534662,0.15900600490164116,0.1503185892871581,0.18866424531937503,0.06452518144501863,0.0348686409276826,0.03130477555427662,0.14977188319049722,0.0013740222582151462,"0.176381,0.446750,0.274641,0.102228,0.451633,0.112603,0.328044,0.107720,0.312576,0.354090,0.188034,0.145299,0.100092,0.082087,0.105279,0.712542","0.050206,0.000000,0.049210,0.048749,0.047547,0.045509,0.045040,0.044634,0.044421,0.044947,0.045155,0.046424,0.047652,0.049433,0.052500,0.057724,0.062825,0.065720,0.077915,0.074390",12.303508758544922
per_sightline,1,45,4,52429,13107,0.2941037787696317,0.15452266627121677,0.1466451529008746,0.18848939077794766,0.06325945116805737,0.011094713723289294,0.00882278600726803,0.14777447376688507,-0.005188253834118972,"0.170278,0.460177,0.263656,0.105890,0.453907,0.112332,0.319902,0.113858,0.313091,0.353067,0.180958,0.152884,0.104669,0.076289,0.106195,0.712847","0.050936,0.000000,0.049069,0.048745,0.047542,0.045847,0.045265,0.044667,0.044342,0.045012,0.044921,0.046380,0.047996,0.049193,0.052797,0.056819,0.062738,0.065416,0.077056,0.075259",12.242544174194336
per_sightline,1,45,5,52429,13107,0.2935743879251661,0.154223688019843,0.14479707049130303,0.18813500763875318,0.08018128083222814,0.014778612675318202,0.04111674833402144,0.2067225142261151,-0.004501580371278235,"0.173077,0.453297,0.265263,0.108364,0.477876,0.115655,0.305767,0.100702,0.313702,0.347574,0.173940,0.164785,0.110162,0.076594,0.101617,0.711626","0.050274,0.000000,0.048939,0.048774,0.046726,0.045477,0.045388,0.044558,0.044504,0.045050,0.044975,0.046234,0.048002,0.048924,0.052408,0.056704,0.063675,0.066753,0.077638,0.074999",11.943522453308105
