feedback_class,class_name,depth_1_minus_f,y_median,y_p25,y_p75
1,NoFeedback,0.6025642343591063,0.1769511619683356,0.14359934209045577,0.22734776061963458
1,NoFeedback,0.6282052514972285,0.18895812933792572,0.15231362650897112,0.2519570637506003
1,NoFeedback,0.6538462686353508,0.20063471874851838,0.1639045783042716,0.25554230702038516
1,NoFeedback,0.6794872857734731,0.21151595234280887,0.17438455602678596,0.2724808090467814
1,NoFeedback,0.7051283029115952,0.21645659159894792,0.1802331090827727,0.2803635174430845
1,NoFeedback,0.7307693200497174,0.24090795572789087,0.19677231210378374,0.3115233404413126
1,NoFeedback,0.7564103371878397,0.2515349605411321,0.2041201271200515,0.3147117266861633
1,NoFeedback,0.782051354325962,0.25985610419520133,0.21941476106021118,0.3261794532725302
1,NoFeedback,0.8076923714640841,0.27164404794208974,0.22749982494645193,0.34742375660395286
1,NoFeedback,0.8333333886022064,0.2933857839091902,0.23862139026662496,0.37626048792579103
1,NoFeedback,0.8589744057403286,0.2980218576293927,0.25362609670316527,0.3678150588061071
1,NoFeedback,0.8846154228784509,0.32297732326967277,0.2775184020209209,0.41528227454262284
1,NoFeedback,0.9102564400165731,0.3497290013840876,0.2936894176541156,0.4344279694766278
1,NoFeedback,0.9358974571546953,0.37501802322540656,0.31329787038044876,0.46257747331319177
1,NoFeedback,0.9615384742928175,0.40356569147757426,0.34325818311594125,0.49887120046258693
1,NoFeedback,0.9871794914309397,0.41518631330429456,0.15797208880089536,0.5496914240399198
2,StellarWind,0.012820840182295097,0.000615539988028261,0.0002390013324272019,0.0015613964324034742
2,StellarWind,0.03846185732041733,0.007558169610820424,0.005698646839079269,0.010080414529877981
2,StellarWind,0.06410287445853956,0.01263533456182106,0.009748104324182551,0.016853727514964927
2,StellarWind,0.08974389159666178,0.017873132361757606,0.014003086073691858,0.023642665601378305
2,StellarWind,0.11538490873478402,0.023317398785132774,0.018602569630686523,0.031122396237895165
2,StellarWind,0.14102592587290624,0.029141993027380943,0.02332305729066518,0.03860434449441924
2,StellarWind,0.16666694301102847,0.03519875291786397,0.028544380872377387,0.04663685905037033
2,StellarWind,0.1923079601491507,0.04085806746544675,0.03346524857054514,0.05442108813710879
2,StellarWind,0.21794897728727292,0.04820769671422556,0.03906566000268507,0.06456314897295792
2,StellarWind,0.24358999442539514,0.05496885212992378,0.044355670047667786,0.0736016100315742
2,StellarWind,0.26923101156351736,0.06143929470791884,0.05029046122537689,0.08203669292590753
2,StellarWind,0.29487202870163964,0.06761563312479539,0.05561372524657909,0.08975043097247215
2,StellarWind,0.3205130458397618,0.0758773857891048,0.06204529191380871,0.10052409452929273
2,StellarWind,0.3461540629778841,0.08180617923657726,0.06809442768629943,0.10935463619326896
2,StellarWind,0.37179508011600626,0.09039219941236311,0.07416577858507664,0.12013220364599293
2,StellarWind,0.39743609725412854,0.09801017507452715,0.08187374013772626,0.12924414431294623
2,StellarWind,0.4230771143922507,0.10520644766007754,0.08744560304423929,0.14157469490050742
2,StellarWind,0.448718131530373,0.11639876394116969,0.0951643527677145,0.15548134375133912
2,StellarWind,0.47435914866849516,0.12112860786969781,0.10042917359620593,0.16089531327597112
2,StellarWind,0.5000001658066174,0.13442697147786314,0.10895381419899378,0.1775117951411851
2,StellarWind,0.5256411829447396,0.14137138210216704,0.11657673412567879,0.1886324863487714
2,StellarWind,0.5512822000828619,0.15112168602284545,0.1258787755217814,0.1998625714094353
2,StellarWind,0.5769232172209842,0.1614148518224488,0.13349747836042802,0.2173750420347401
2,StellarWind,0.6025642343591063,0.17442709306181844,0.14392928564852664,0.22583554935282504
2,StellarWind,0.6282052514972285,0.1872373313655864,0.15258655250922298,0.2425202212688607
2,StellarWind,0.6538462686353508,0.19674097547764746,0.1620757753485018,0.254918885835488
2,StellarWind,0.6794872857734731,0.20994246560913907,0.1713179246080631,0.2733722184153444
2,StellarWind,0.7051283029115952,0.21702178993692514,0.1810141049675491,0.28329832010349715
2,StellarWind,0.7307693200497174,0.23383322802793227,0.190824126173678,0.30173752453099645
2,StellarWind,0.7564103371878397,0.2416150143522025,0.2036966457233473,0.3052543459172991
2,StellarWind,0.782051354325962,0.2563783676780065,0.2123813212405547,0.3337836083595886
2,StellarWind,0.8076923714640841,0.2795926315992649,0.22812983174172297,0.34123008159558954
2,StellarWind,0.8333333886022064,0.2791678527872305,0.23767260952251495,0.35502891772589956
2,StellarWind,0.8589744057403286,0.2971141776910936,0.2548636951959087,0.38499443771853914
2,StellarWind,0.8846154228784509,0.3149997844676279,0.268999035582155,0.3961333038961643
2,StellarWind,0.9102564400165731,0.3396890422877342,0.2860521390490885,0.42953109962948965
2,StellarWind,0.9358974571546953,0.3673023963334742,0.31288448554166953,0.46786924331169266
2,StellarWind,0.9615384742928175,0.3950337392464991,0.3386740503347532,0.48380364356016736
2,StellarWind,0.9871794914309397,0.04238376125567811,0.028171593877232226,0.197301191480534
3,WindAGN,0.012820840182295097,0.0006344834767899019,0.00024467368725100886,0.0016183075866416455
3,WindAGN,0.03846185732041733,0.007762884654929567,0.005832266298035382,0.010498644865749225
3,WindAGN,0.06410287445853956,0.013145157932212274,0.010008329943684627,0.01780799587298677
3,WindAGN,0.08974389159666178,0.01855162317104314,0.01435500406897193,0.02551398934414109
3,WindAGN,0.11538490873478402,0.024333790152341887,0.019064583766085903,0.03366373632408119
3,WindAGN,0.14102592587290624,0.030466558134195857,0.023861723935945794,0.04225896655001689
3,WindAGN,0.16666694301102847,0.036463959645769206,0.02904602437545354,0.05154324741562172
3,WindAGN,0.1923079601491507,0.04278641502840568,0.03413182300341442,0.06054567436976932
3,WindAGN,0.21794897728727292,0.049629193956242455,0.03960730713148167,0.06920121539454271
3,WindAGN,0.24358999442539514,0.0563062854913942,0.04474025153712768,0.07900680685735334
3,WindAGN,0.26923101156351736,0.0640626013939199,0.05118955194781246,0.09183684975118303
3,WindAGN,0.29487202870163964,0.07006126098689106,0.05652798805585056,0.09844347741466834
3,WindAGN,0.3205130458397618,0.07747844688150668,0.06273509936877066,0.11051119067407728
3,WindAGN,0.3461540629778841,0.08660500956500936,0.06962814631188753,0.12058763404094944
3,WindAGN,0.37179508011600626,0.09250759752545434,0.07487317564434626,0.13201979491439902
3,WindAGN,0.39743609725412854,0.10279284856364629,0.08304373928908121,0.14336113006159015
3,WindAGN,0.4230771143922507,0.10935712605709325,0.08864119661488959,0.15053812365499347
3,WindAGN,0.448718131530373,0.11651713117495274,0.09485952277846803,0.1637226962240483
3,WindAGN,0.47435914866849516,0.12708322577576883,0.1014183646129973,0.18158666279249636
3,WindAGN,0.5000001658066174,0.13621183223252528,0.10978017140491621,0.1907949574661239
3,WindAGN,0.5256411829447396,0.1432322476273179,0.11593660621021175,0.19439321163340884
3,WindAGN,0.5512822000828619,0.15761758654985092,0.12909753820880976,0.21530702662877954
3,WindAGN,0.5769232172209842,0.16706193180053097,0.1340593187675464,0.2227385128819531
3,WindAGN,0.6025642343591063,0.17969426893135115,0.143470087634133,0.23913660291835825
3,WindAGN,0.6282052514972285,0.18508743450450893,0.15204106971912762,0.24654021932232256
3,WindAGN,0.6538462686353508,0.20241632036068147,0.16398334885469484,0.2765222228216852
3,WindAGN,0.6794872857734731,0.20676962780309238,0.17067017136745888,0.2695704739831649
3,WindAGN,0.7051283029115952,0.22747171941208216,0.18001997975034292,0.3051763020334537
3,WindAGN,0.7307693200497174,0.23614774917729855,0.19361498276097677,0.29767402883306704
3,WindAGN,0.7564103371878397,0.24293582177673495,0.2014190974387266,0.30956421464476025
3,WindAGN,0.782051354325962,0.2627155139392764,0.21503663978304943,0.32703915483607576
3,WindAGN,0.8076923714640841,0.27306273709708084,0.22569677731246982,0.3528468627700182
3,WindAGN,0.8333333886022064,0.28064508243580905,0.23768179735620193,0.35210399296863837
3,WindAGN,0.8589744057403286,0.30718765971345985,0.25861764741296467,0.3812279360050581
3,WindAGN,0.8846154228784509,0.3227304619065758,0.27134199679661275,0.3982983904553267
3,WindAGN,0.9102564400165731,0.34141918264675,0.2904612773909655,0.4220555563119429
3,WindAGN,0.9358974571546953,0.36375001042644034,0.3121711261721132,0.44903858260803764
3,WindAGN,0.9615384742928175,0.39744877272085294,0.34184486207159354,0.48520266127401646
3,WindAGN,0.9871794914309397,0.05586110032299986,0.02822193810675344,0.3072981693687852
4,WindStrongAGN,0.012820840182295097,0.0007055489379770937,0.00026261035477858084,0.0018648023378066048
4,WindStrongAGN,0.03846185732041733,0.008708795936045781,0.006310060117768101,0.012799871861731473
4,WindStrongAGN,0.06410287445853956,0.01453226812022167,0.010673572266432165,0.02157832172674257
4,WindStrongAGN,0.08974389159666178,0.02010071376222868,0.015068142479750673,0.02964552700524863
4,WindStrongAGN,0.11538490873478402,0.02636839339272981,0.019656520644670227,0.0392594789842382
4,WindStrongAGN,0.14102592587290624,0.03278284958716235,0.024718908918994132,0.048860833317946925
4,WindStrongAGN,0.16666694301102847,0.03864023342415586,0.029724503330488726,0.05687724958648895
4,WindStrongAGN,0.1923079601491507,0.045987180573153874,0.03484194397631379,0.06727776077666948
4,WindStrongAGN,0.21794897728727292,0.052539523474994666,0.040499678977169086,0.0751444103610779
4,WindStrongAGN,0.24358999442539514,0.05972425730165616,0.0452930788984054,0.08814995837676594
4,WindStrongAGN,0.26923101156351736,0.0668911482960578,0.051704100190950716,0.09642835512583342
4,WindStrongAGN,0.29487202870163964,0.07414200001409527,0.057108231225714005,0.10398407412609739
4,WindStrongAGN,0.3205130458397618,0.08066085074527218,0.06324084744435321,0.1144242231241859
