feedback_class,class_name,line_density_lines_per_angstrom,total_ew_angstrom,count,density
2,StellarWind,1.5730746367178354,0.5599410529887804,362,0.0220947265625
2,StellarWind,1.5730746367178354,0.6620704478534867,351,0.02142333984375
2,StellarWind,1.5730746367178354,0.7828275415442694,332,0.020263671875
2,StellarWind,1.5730746367178354,0.9256098981416236,263,0.01605224609375
2,StellarWind,1.5730746367178354,1.094434774034195,197,0.01202392578125
2,StellarWind,1.5730746367178354,1.2940521455314113,116,0.007080078125
2,StellarWind,1.5730746367178354,1.5300783519348669,77,0.00469970703125
2,StellarWind,1.5730746367178354,1.8091541141862668,33,0.00201416015625
2,StellarWind,1.5730746367178354,2.139131375029364,23,0.00140380859375
2,StellarWind,1.5730746367178354,2.529294217531704,12,0.000732421875
2,StellarWind,1.5730746367178354,2.9906200776244978,3,0.00018310546875
2,StellarWind,1.5730746367178354,3.5360886000122487,7,0.00042724609375
2,StellarWind,1.5730746367178354,4.181046827274922,1,6.103515625e-05
2,StellarWind,1.5730746367178354,4.943640996949322,3,0.00018310546875
2,StellarWind,1.5730746367178354,5.845327095426733,1,6.103515625e-05
2,StellarWind,1.5730746367178354,6.9114745333681435,1,6.103515625e-05
2,StellarWind,1.5730746367178354,8.172079927361038,2,0.0001220703125
2,StellarWind,1.5730746367178354,9.66261107043856,2,0.0001220703125
2,StellarWind,1.5730746367178354,11.425004837013619,2,0.0001220703125
2,StellarWind,1.7454510868863495,0.10483912188245244,2,0.0001220703125
2,StellarWind,1.7454510868863495,0.12396105626974341,6,0.0003662109375
2,StellarWind,1.7454510868863495,0.14657069990284274,34,0.0020751953125
2,StellarWind,1.7454510868863495,0.17330418694772587,82,0.0050048828125
2,StellarWind,1.7454510868863495,0.20491367806472355,152,0.00927734375
2,StellarWind,1.7454510868863495,0.24228852284266275,238,0.0145263671875
2,StellarWind,1.7454510868863495,0.286480282115367,368,0.0224609375
2,StellarWind,1.7454510868863495,0.3387323141764973,421,0.02569580078125
2,StellarWind,1.7454510868863495,0.4005147573163834,530,0.0323486328125
2,StellarWind,1.7454510868863495,0.47356589293284373,535,0.03265380859375
2,StellarWind,1.7454510868863495,0.5599410529887804,522,0.0318603515625
2,StellarWind,1.7454510868863495,0.6620704478534867,543,0.03314208984375
2,StellarWind,1.7454510868863495,0.7828275415442694,440,0.02685546875
2,StellarWind,1.7454510868863495,0.9256098981416236,395,0.02410888671875
2,StellarWind,1.7454510868863495,1.094434774034195,277,0.01690673828125
2,StellarWind,1.7454510868863495,1.2940521455314113,193,0.01177978515625
2,StellarWind,1.7454510868863495,1.5300783519348669,99,0.00604248046875
2,StellarWind,1.7454510868863495,1.8091541141862668,73,0.00445556640625
2,StellarWind,1.7454510868863495,2.139131375029364,34,0.0020751953125
2,StellarWind,1.7454510868863495,2.529294217531704,14,0.0008544921875
