feedback_class,class_name,bin_line_density_lines_per_angstrom,bin_activity_ew_angstrom,count,density
2,StellarWind,3.0811133889262425,0.06612799702631375,1621,0.0026076395312361754
2,StellarWind,3.0811133889262425,0.08082306460599395,1049,0.0016874854215094067
2,StellarWind,3.0811133889262425,0.09551813218567415,706,0.0011357146878795434
2,StellarWind,3.0811133889262425,0.11021319976535435,548,0.0008815462449829884
2,StellarWind,3.0811133889262425,0.12490826734503455,440,0.000707810853635976
2,StellarWind,3.0811133889262425,0.13960333492471474,299,0.00048098964826626556
2,StellarWind,3.0811133889262425,0.15429840250439494,240,0.0003860786474378051
2,StellarWind,3.0811133889262425,0.16899347008407514,199,0.0003201235451671801
2,StellarWind,3.0811133889262425,0.18368853766375534,135,0.0002171692391837654
2,StellarWind,3.0811133889262425,0.19838360524343554,128,0.0002059086119668294
2,StellarWind,3.0811133889262425,0.21307867282311574,95,0.0001528227979441312
2,StellarWind,3.0811133889262425,0.22777374040279594,80,0.0001286928824792684
2,StellarWind,3.0811133889262425,0.24246880798247614,87,0.00013995350969620436
2,StellarWind,3.0811133889262425,0.2571638755621563,60,9.651966185945128e-05
2,StellarWind,3.0811133889262425,0.2718589431418365,51,8.20417125805336e-05
2,StellarWind,3.0811133889262425,0.2865540107215167,46,7.399840742557932e-05
2,StellarWind,3.0811133889262425,0.3012490783011969,44,7.07810853635976e-05
2,StellarWind,3.0811133889262425,0.3159441458808771,35,5.6303136084679915e-05
2,StellarWind,3.0811133889262425,0.3306392134605573,29,4.665116989873479e-05
2,StellarWind,3.0811133889262425,0.3453342810402375,19,3.056455958882624e-05
2,StellarWind,3.0811133889262425,0.3600293486199177,28,4.5042508867743936e-05
2,StellarWind,3.0811133889262425,0.3747244161995979,15,2.412991546486282e-05
2,StellarWind,3.0811133889262425,0.3894194837792781,12,1.9303932371890257e-05
2,StellarWind,3.0811133889262425,0.4041145513589583,7,1.1260627216935984e-05
2,StellarWind,3.0811133889262425,0.4188096189386385,11,1.76952713408994e-05
2,StellarWind,3.0811133889262425,0.4335046865183187,9,1.4477949278917693e-05
2,StellarWind,3.0811133889262425,0.4481997540979989,6,9.651966185945128e-06
2,StellarWind,3.0811133889262425,0.4628948216776791,11,1.76952713408994e-05
2,StellarWind,3.0811133889262425,0.4775898892573593,6,9.651966185945128e-06
2,StellarWind,3.0811133889262425,0.4922849568370395,8,1.2869288247926838e-05
2,StellarWind,3.0811133889262425,0.5069800244167197,2,3.2173220619817095e-06
2,StellarWind,3.0811133889262425,0.5216750919963999,1,1.6086610309908547e-06
2,StellarWind,3.0811133889262425,0.5363701595760801,4,6.434644123963419e-06
2,StellarWind,3.0811133889262425,0.5510652271557603,9,1.4477949278917693e-05
2,StellarWind,3.0811133889262425,0.5657602947354405,7,1.1260627216935984e-05
2,StellarWind,4.867266078159267,0.007347726707592954,25784,0.0414777160230682
2,StellarWind,4.867266078159267,0.022042794287273154,1366,0.0021974309683335078
2,StellarWind,4.867266078159267,0.03673786186695335,450,0.0007238974639458847
2,StellarWind,4.867266078159267,0.05143292944663355,155,0.00024934245980358247
2,StellarWind,4.867266078159267,0.06612799702631375,86,0.0001383448486652135
2,StellarWind,4.867266078159267,0.08082306460599395,48,7.721572948756103e-05
2,StellarWind,4.867266078159267,0.09551813218567415,26,4.1825186805762225e-05
2,StellarWind,4.867266078159267,0.11021319976535435,19,3.056455958882624e-05
2,StellarWind,4.867266078159267,0.12490826734503455,8,1.2869288247926838e-05
2,StellarWind,4.867266078159267,0.13960333492471474,8,1.2869288247926838e-05
2,StellarWind,4.867266078159267,0.15429840250439494,4,6.434644123963419e-06
2,StellarWind,4.867266078159267,0.16899347008407514,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.18368853766375534,2,3.2173220619817095e-06
2,StellarWind,4.867266078159267,0.19838360524343554,10,1.608661030990855e-05
2,StellarWind,4.867266078159267,0.21307867282311574,4,6.434644123963419e-06
2,StellarWind,4.867266078159267,0.22777374040279594,5,8.043305154954275e-06
2,StellarWind,4.867266078159267,0.24246880798247614,5,8.043305154954275e-06
2,StellarWind,4.867266078159267,0.2571638755621563,3,4.825983092972564e-06
2,StellarWind,4.867266078159267,0.2718589431418365,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.2865540107215167,7,1.1260627216935984e-05
2,StellarWind,4.867266078159267,0.3012490783011969,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.3159441458808771,9,1.4477949278917693e-05
2,StellarWind,4.867266078159267,0.3306392134605573,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.3453342810402375,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.3600293486199177,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.3747244161995979,3,4.825983092972564e-06
2,StellarWind,4.867266078159267,0.3894194837792781,3,4.825983092972564e-06
2,StellarWind,4.867266078159267,0.4041145513589583,7,1.1260627216935984e-05
2,StellarWind,4.867266078159267,0.4188096189386385,1,1.6086610309908547e-06
2,StellarWind,4.867266078159267,0.4335046865183187,3,4.825983092972564e-06
2,StellarWind,4.867266078159267,0.4481997540979989,4,6.434644123963419e-06
2,StellarWind,4.867266078159267,0.4628948216776791,1,1.6086610309908547e-06
2,StellarWind,4.867266078159267,0.4775898892573593,2,3.2173220619817095e-06
2,StellarWind,4.867266078159267,0.4922849568370395,2,3.2173220619817095e-06
2,StellarWind,4.867266078159267,0.5069800244167197,6,9.651966185945128e-06
2,StellarWind,4.867266078159267,0.5216750919963999,7,1.1260627216935984e-05
2,StellarWind,4.867266078159267,0.5363701595760801,4,6.434644123963419e-06
2,StellarWind,4.867266078159267,0.5510652271557603,8,1.2869288247926838e-05
2,StellarWind,4.867266078159267,0.5657602947354405,7,1.1260627216935984e-05
2,StellarWind,6.653418767392292,0.007347726707592954,1985,0.003193192146516847
2,StellarWind,6.653418767392292,0.022042794287273154,45,7.238974639458847e-05
2,StellarWind,6.653418767392292,0.03673786186695335,7,1.1260627216935984e-05
2,StellarWind,6.653418767392292,0.05143292944663355,5,8.043305154954275e-06
2,StellarWind,6.653418767392292,0.06612799702631375,1,1.6086610309908547e-06
2,StellarWind,6.653418767392292,0.08082306460599395,1,1.6086610309908547e-06
2,StellarWind,6.653418767392292,0.19838360524343554,2,3.2173220619817095e-06
2,StellarWind,6.653418767392292,0.22777374040279594,4,6.434644123963419e-06
