M,alpha,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
64,0.1,44,2,205,51,0.6876923076923077,0.22387266159057617
64,0.1,44,3,205,51,0.7653846153846153,0.21871471405029297
64,0.1,44,4,205,51,0.686923076923077,0.22005176544189453
64,0.1,44,5,205,51,0.7461538461538462,0.21870970726013184
64,0.2,44,1,204,52,0.8076923076923077,0.21791315078735352
64,0.2,44,2,205,51,0.823076923076923,0.21403026580810547
64,0.2,44,3,205,51,0.7853846153846153,0.218672513961792
64,0.2,44,4,205,51,0.8623076923076922,0.21835899353027344
64,0.2,44,5,205,51,0.8646153846153846,0.22620153427124023
64,0.5,44,1,204,52,0.9423076923076923,0.21782779693603516
64,0.5,44,2,205,51,0.9423076923076923,0.23717403411865234
64,0.5,44,3,205,51,0.9607692307692308,0.24912309646606445
64,0.5,44,4,205,51,0.98,0.22755050659179688
64,0.5,44,5,205,51,0.9607692307692308,0.21995329856872559
64,1.0,44,1,204,52,0.9807692307692308,0.23128318786621094
64,1.0,44,2,205,51,1.0,0.21246647834777832
64,1.0,44,3,205,51,1.0,0.21906542778015137
64,1.0,44,4,205,51,0.9607692307692308,0.21305251121520996
64,1.0,44,5,205,51,0.98,0.2109076976776123
256,0.0,44,1,51,13,0.38095238095238093,0.21309947967529297
256,0.0,44,2,51,13,0.5357142857142857,0.21097207069396973
256,0.0,44,3,51,13,0.39285714285714285,0.21365785598754883
256,0.0,44,4,51,13,0.6190476190476191,0.21143245697021484
256,0.0,44,5,52,12,0.5833333333333333,0.21206235885620117
256,0.01,44,1,51,13,0.38095238095238093,0.20752406120300293
256,0.01,44,2,51,13,0.5357142857142857,0.20100617408752441
256,0.01,44,3,51,13,0.4642857142857143,0.19722795486450195
256,0.01,44,4,51,13,0.6190476190476191,0.21680402755737305
256,0.01,44,5,52,12,0.5,0.20782899856567383
256,0.02,44,1,51,13,0.5476190476190476,0.21160554885864258
256,0.02,44,2,51,13,0.5357142857142857,0.21733784675598145
256,0.02,44,3,51,13,0.5357142857142857,0.21507525444030762
256,0.02,44,4,51,13,0.6904761904761905,0.21793508529663086
256,0.02,44,5,52,12,0.5,0.20687246322631836
256,0.05,44,1,51,13,0.48809523809523814,0.20876383781433105
256,0.05,44,2,51,13,0.6071428571428572,0.21294188499450684
