regime,M,pair,seed,fold,n_train_groups,n_test_groups,balanced_acc,exploratory_flag,runtime_sec
per_sightline,1,C1-C4,45,5,26215,6553,0.7852949274981622,0,2.3388750553131104
per_sightline,1,C2-C3,45,1,26214,6554,0.3611534940494355,0,2.8302419185638428
per_sightline,1,C2-C3,45,2,26214,6554,0.35398230088495575,0,2.894932985305786
per_sightline,1,C2-C3,45,3,26214,6554,0.35962770826975893,0,2.820666790008545
per_sightline,1,C2-C3,45,4,26215,6553,0.36410786429858755,0,2.880955696105957
per_sightline,1,C2-C3,45,5,26215,6553,0.3740292444137424,0,2.7707276344299316
per_sightline,1,C2-C4,45,1,26214,6554,0.7874580408910589,0,2.235969305038452
per_sightline,1,C2-C4,45,2,26214,6554,0.7784559047909674,0,2.258810520172119
per_sightline,1,C2-C4,45,3,26214,6554,0.7879157766249618,0,2.227637529373169
per_sightline,1,C2-C4,45,4,26215,6553,0.7878770730845799,0,2.2421000003814697
per_sightline,1,C2-C4,45,5,26215,6553,0.7740029017874608,0,2.2270607948303223
per_sightline,1,C3-C4,45,1,26214,6554,0.7709795544705523,0,2.2157232761383057
per_sightline,1,C3-C4,45,2,26214,6554,0.7613671040585901,0,2.256535291671753
per_sightline,1,C3-C4,45,3,26214,6554,0.7696063472688435,0,2.2070765495300293
per_sightline,1,C3-C4,45,4,26215,6553,0.7717014616617912,0,2.2029550075531006
per_sightline,1,C3-C4,45,5,26215,6553,0.7607272148392075,0,2.2141664028167725
per_sightline,1,C4-rest,45,1,52428,13108,0.7467704200996848,0,5.991825103759766
per_sightline,1,C4-rest,45,2,52429,13107,0.7550934976934367,0,6.052234649658203
per_sightline,1,C4-rest,45,3,52429,13107,0.7562280464571502,0,5.9822962284088135
per_sightline,1,C4-rest,45,4,52429,13107,0.749006159331771,0,5.937425851821899
per_sightline,1,C4-rest,45,5,52429,13107,0.7540412368829764,0,6.0835816860198975
per_sightline,1,C1-C2,46,1,26214,6554,0.30042722001830946,0,3.8851890563964844
per_sightline,1,C1-C2,46,2,26214,6554,0.2946292340555386,0,3.968707799911499
per_sightline,1,C1-C2,46,3,26214,6554,0.2903570338724443,0,3.695178270339966
per_sightline,1,C1-C2,46,4,26215,6553,0.2913119075004946,0,3.885267734527588
per_sightline,1,C1-C2,46,5,26215,6553,0.29071104784409635,0,3.9872891902923584
per_sightline,1,C1-C3,46,1,26214,6554,0.4208117180347879,0,2.9514079093933105
per_sightline,1,C1-C3,46,2,26214,6554,0.41577662496185536,0,2.9205188751220703
per_sightline,1,C1-C3,46,3,26214,6554,0.4188281965212084,0,2.8971076011657715
per_sightline,1,C1-C3,46,4,26215,6553,0.41599044921443457,0,2.965864658355713
per_sightline,1,C1-C3,46,5,26215,6553,0.42378099217433973,0,2.981288194656372
per_sightline,1,C1-C4,46,1,26214,6554,0.7880683552029295,0,2.39681339263916
per_sightline,1,C1-C4,46,2,26214,6554,0.7903570338724443,0,2.362574577331543
per_sightline,1,C1-C4,46,3,26214,6554,0.7972230698809888,0,2.2982046604156494
per_sightline,1,C1-C4,46,4,26215,6553,0.7938308512766858,0,2.338182210922241
per_sightline,1,C1-C4,46,5,26215,6553,0.7958241068936828,0,2.3677947521209717
per_sightline,1,C2-C3,46,1,26214,6554,0.35978028684772656,0,2.8763325214385986
per_sightline,1,C2-C3,46,2,26214,6554,0.36176380836130606,0,2.8091063499450684
per_sightline,1,C2-C3,46,3,26214,6554,0.36069575831553247,0,2.7718796730041504
per_sightline,1,C2-C3,46,4,26215,6553,0.3607529985695991,0,2.7944211959838867
per_sightline,1,C2-C3,46,5,26215,6553,0.3712812464719697,0,2.8690619468688965
per_sightline,1,C2-C4,46,1,26214,6554,0.7812023191943851,0,2.286677598953247
per_sightline,1,C2-C4,46,2,26214,6554,0.7830332621299969,0,2.2825350761413574
per_sightline,1,C2-C4,46,3,26214,6554,0.794476655477571,0,2.2471115589141846
per_sightline,1,C2-C4,46,4,26215,6553,0.77551876716509,0,2.237069845199585
per_sightline,1,C2-C4,46,5,26215,6553,0.7901784666355921,0,2.244968891143799
per_sightline,1,C3-C4,46,1,26214,6554,0.770216661580714,0,2.2470686435699463
per_sightline,1,C3-C4,46,2,26214,6554,0.7633506255721696,0,2.1962130069732666
per_sightline,1,C3-C4,46,3,26214,6554,0.7746414403417761,0,2.2214131355285645
per_sightline,1,C3-C4,46,4,26215,6553,0.7678869040632849,0,2.2079010009765625
per_sightline,1,C3-C4,46,5,26215,6553,0.7669826570879363,0,2.255106210708618
per_sightline,1,C4-rest,46,1,52428,13108,0.7502797273929407,0,6.006189823150635
per_sightline,1,C4-rest,46,2,52429,13107,0.7472083150294929,0,6.020576477050781
per_sightline,1,C4-rest,46,3,52429,13107,0.7514983744095147,0,6.023010730743408
per_sightline,1,C4-rest,46,4,52429,13107,0.7506335969026083,0,6.078681707382202
per_sightline,1,C4-rest,46,5,52429,13107,0.7555163131800262,0,5.93388557434082
per_sightline,1,C1-C2,47,1,26214,6554,0.28166005492828805,0,3.8146815299987793
per_sightline,1,C1-C2,47,2,26214,6554,0.29417149832163564,0,3.9571714401245117
