M,task,feature_set,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
1,C4-rest,fbar,44,2,52429,13107,0.5644410687132688,2.3854079246520996
1,C4-rest,fbar,44,3,52429,13107,0.5537477365441371,2.3318846225738525
1,C4-rest,fbar,44,4,52429,13107,0.5618848933548692,2.414259672164917
1,C4-rest,fbar,44,5,52429,13107,0.5645297956626707,2.2970972061157227
1,4class,fbar,44,1,52428,13108,0.2863137015563015,2.5221242904663086
1,4class,fbar,44,2,52429,13107,0.2782523735376955,2.5657548904418945
1,4class,fbar,44,3,52429,13107,0.2787804137170936,2.5425407886505127
1,4class,fbar,44,4,52429,13107,0.2857243225529768,2.454702377319336
1,4class,fbar,44,5,52429,13107,0.28160309412216644,2.604790687561035
1,C1-C2,fbar_var,44,1,26214,6554,0.5001525785779677,1.3726866245269775
1,C1-C2,fbar_var,44,2,26214,6554,0.49481232834909983,1.3312911987304688
1,C1-C2,fbar_var,44,3,26214,6554,0.5126640219713152,1.2384014129638672
1,C1-C2,fbar_var,44,4,26215,6553,0.502211923633956,1.321650743484497
1,C1-C2,fbar_var,44,5,26215,6553,0.499315212810788,1.2806899547576904
1,C1-C3,fbar_var,44,1,26214,6554,0.5057979859627708,1.091480016708374
1,C1-C3,fbar_var,44,2,26214,6554,0.5065608788526091,1.1340091228485107
1,C1-C3,fbar_var,44,3,26214,6554,0.5097650289899298,1.1101675033569336
1,C1-C3,fbar_var,44,4,26215,6553,0.5183899103642772,1.0997605323791504
1,C1-C3,fbar_var,44,5,26215,6553,0.49839941532037957,1.0937201976776123
1,C1-C4,fbar_var,44,1,26214,6554,0.6361000915471468,0.8306550979614258
1,C1-C4,fbar_var,44,2,26214,6554,0.6325907842538907,0.8165016174316406
1,C1-C4,fbar_var,44,3,26214,6554,0.6411351846200793,0.805272102355957
1,C1-C4,fbar_var,44,4,26215,6553,0.6352783748648869,0.8001360893249512
1,C1-C4,fbar_var,44,5,26215,6553,0.6419972349557336,0.8152081966400146
1,C2-C3,fbar_var,44,1,26214,6554,0.5,1.0745694637298584
1,C2-C3,fbar_var,44,2,26214,6554,0.5073237717424474,1.0925712585449219
1,C2-C3,fbar_var,44,3,26214,6554,0.5048825144949649,1.1353299617767334
1,C2-C3,fbar_var,44,4,26215,6553,0.5090786582623629,1.1174323558807373
1,C2-C3,fbar_var,44,5,26215,6553,0.4898533848411786,1.109910011291504
1,C2-C4,fbar_var,44,1,26214,6554,0.6353371986573084,0.8059642314910889
1,C2-C4,fbar_var,44,2,26214,6554,0.6441867561794324,0.8032667636871338
1,C2-C4,fbar_var,44,3,26214,6554,0.6455599633811413,0.7881021499633789
1,C2-C4,fbar_var,44,4,26215,6553,0.6244429205216511,0.8041048049926758
1,C2-C4,fbar_var,44,5,26215,6553,0.6323832941547314,0.8160851001739502
1,C3-C4,fbar_var,44,1,26214,6554,0.6530363137015562,0.8058679103851318
1,C3-C4,fbar_var,44,2,26214,6554,0.6626487641135185,0.7638416290283203
1,C3-C4,fbar_var,44,3,26214,6554,0.6650900213610009,0.7865133285522461
1,C3-C4,fbar_var,44,4,26215,6553,0.6474866638125716,0.790452241897583
1,C3-C4,fbar_var,44,5,26215,6553,0.6519166123606159,0.7806491851806641
1,C4-rest,fbar_var,44,1,52428,13108,0.6172820669311362,1.6419756412506104
1,C4-rest,fbar_var,44,2,52429,13107,0.6153998918722752,1.6731505393981934
1,C4-rest,fbar_var,44,3,52429,13107,0.6109194884907945,1.7362160682678223
1,C4-rest,fbar_var,44,4,52429,13107,0.6091391308639922,1.6813862323760986
1,C4-rest,fbar_var,44,5,52429,13107,0.6104110432742649,1.6628928184509277
1,4class,fbar_var,44,1,52428,13108,0.31949954226426613,1.9727318286895752
1,4class,fbar_var,44,2,52429,13107,0.3173983498785147,1.9980385303497314
1,4class,fbar_var,44,3,52429,13107,0.31395215124617015,2.0258195400238037
1,4class,fbar_var,44,4,52429,13107,0.3144083733037044,1.9789645671844482
1,4class,fbar_var,44,5,52429,13107,0.31448452286871575,1.994311809539795
1,C1-C2,fbar,45,1,26214,6554,0.4987793713762588,1.5096619129180908
1,C1-C2,fbar,45,2,26214,6554,0.496032956972841,1.5306315422058105
1,C1-C2,fbar,45,3,26214,6554,0.5091547146780593,1.63791823387146
1,C1-C2,fbar,45,4,26215,6553,0.5046551835917109,1.6362969875335693
1,C1-C2,fbar,45,5,26215,6553,0.5128940542047042,1.5688791275024414
1,C1-C3,fbar,45,1,26214,6554,0.4971010070186146,1.3858094215393066
1,C1-C3,fbar,45,2,26214,6554,0.49664327128471164,1.4842896461486816
1,C1-C3,fbar,45,3,26214,6554,0.5131217577052182,1.54852294921875
1,C1-C3,fbar,45,4,26215,6553,0.505721324076527,1.4592223167419434
1,C1-C3,fbar,45,5,26215,6553,0.5080109342391919,1.4105308055877686
1,C1-C4,fbar,45,1,26214,6554,0.5501983521513579,1.1130883693695068
1,C1-C4,fbar,45,2,26214,6554,0.5532499237107109,1.1468617916107178
1,C1-C4,fbar,45,3,26214,6554,0.5563014952700641,1.1295785903930664
1,C1-C4,fbar,45,4,26215,6553,0.5522672915867911,1.1415371894836426
1,C1-C4,fbar,45,5,26215,6553,0.5573029435556136,1.1499285697937012
1,C2-C3,fbar,45,1,26214,6554,0.4911504424778761,1.9418480396270752
1,C2-C3,fbar,45,2,26214,6554,0.5013732072017089,1.9415204524993896
1,C2-C3,fbar,45,3,26214,6554,0.5076289288983826,2.0416886806488037
1,C2-C3,fbar,45,4,26215,6553,0.4997696883186661,1.9011571407318115
1,C2-C3,fbar,45,5,26215,6553,0.49412497955372536,1.9728374481201172
1,C2-C4,fbar,45,1,26214,6554,0.5680500457735734,1.0648963451385498
1,C2-C4,fbar,45,2,26214,6554,0.5744583460482149,1.0928280353546143
1,C2-C4,fbar,45,3,26214,6554,0.5677448886176382,1.0596446990966797
1,C2-C4,fbar,45,4,26215,6553,0.5768357494402658,1.0792067050933838
1,C2-C4,fbar,45,5,26215,6553,0.5629488166869918,1.1311814785003662
1,C3-C4,fbar,45,1,26214,6554,0.576594446139762,1.0467228889465332
1,C3-C4,fbar,45,2,26214,6554,0.5706438815990235,1.029909372329712
1,C3-C4,fbar,45,3,26214,6554,0.5631675312786084,1.030656337738037
1,C3-C4,fbar,45,4,26215,6553,0.5780560520414045,1.083885669708252
1,C3-C4,fbar,45,5,26215,6553,0.5568444626271907,1.063906192779541
1,C4-rest,fbar,45,1,52428,13108,0.5659139456820262,2.2841074466705322
1,C4-rest,fbar,45,2,52429,13107,0.5542665553346053,2.2973814010620117
1,C4-rest,fbar,45,3,52429,13107,0.5627495777314127,2.292546272277832
1,C4-rest,fbar,45,4,52429,13107,0.563665483807579,2.3351247310638428
1,C4-rest,fbar,45,5,52429,13107,0.5575617974284224,2.2650372982025146
1,4class,fbar,45,1,52428,13108,0.2842538907537382,2.4315638542175293
1,4class,fbar,45,2,52429,13107,0.279321541375249,2.565509796142578
1,4class,fbar,45,3,52429,13107,0.27984902265875716,2.5552501678466797
1,4class,fbar,45,4,52429,13107,0.28023084170093626,2.5634427070617676
1,4class,fbar,45,5,52429,13107,0.29060676718595546,2.605064868927002
1,C1-C2,fbar_var,45,1,26214,6554,0.4952700640830028,1.2815382480621338
1,C1-C2,fbar_var,45,2,26214,6554,0.5064083002746413,1.2452871799468994
1,C1-C2,fbar_var,45,3,26214,6554,0.5114433933475739,1.3740673065185547
1,C1-C2,fbar_var,45,4,26215,6553,0.5045008817514158,1.302340030670166
1,C1-C2,fbar_var,45,5,26215,6553,0.5121324654052759,1.361121654510498
1,C1-C3,fbar_var,45,1,26214,6554,0.5001525785779677,1.0783278942108154
1,C1-C3,fbar_var,45,2,26214,6554,0.5146475434848947,1.129321575164795
1,C1-C3,fbar_var,45,3,26214,6554,0.5027464144034177,1.1170268058776855
1,C1-C3,fbar_var,45,4,26215,6553,0.5124376225612113,1.093311071395874
1,C1-C3,fbar_var,45,5,26215,6553,0.5104535887263992,1.0957155227661133
1,C1-C4,fbar_var,45,1,26214,6554,0.6484589563625267,0.8303399085998535
1,C1-C4,fbar_var,45,2,26214,6554,0.6339639914555997,0.818901777267456
1,C1-C4,fbar_var,45,3,26214,6554,0.6393042416844675,0.8139634132385254
1,C1-C4,fbar_var,45,4,26215,6553,0.6355852552831497,0.8056735992431641
1,C1-C4,fbar_var,45,5,26215,6553,0.6381850526647597,0.816535234451294
1,C2-C3,fbar_var,45,1,26214,6554,0.5007628928898382,1.0916011333465576
1,C2-C3,fbar_var,45,2,26214,6554,0.5028989929813854,1.0946149826049805
1,C2-C3,fbar_var,45,3,26214,6554,0.49481232834909983,1.1350233554840088
1,C2-C3,fbar_var,45,4,26215,6553,0.5093825113278883,1.0865418910980225
1,C2-C3,fbar_var,45,5,26215,6553,0.4970249506029183,1.0877814292907715
1,C2-C4,fbar_var,45,1,26214,6554,0.6425083918217882,0.8166003227233887
1,C2-C4,fbar_var,45,2,26214,6554,0.6309124198962466,0.8221728801727295
1,C2-C4,fbar_var,45,3,26214,6554,0.6347268843454379,0.816230297088623
1,C2-C4,fbar_var,45,4,26215,6553,0.6447397836625789,0.8066549301147461
1,C2-C4,fbar_var,45,5,26215,6553,0.6378784516944419,0.8037264347076416
1,C3-C4,fbar_var,45,1,26214,6554,0.6631064998474214,0.8083748817443848
1,C3-C4,fbar_var,45,2,26214,6554,0.6595971925541654,0.7880373001098633
1,C3-C4,fbar_var,45,3,26214,6554,0.6473909063167531,0.7929785251617432
1,C3-C4,fbar_var,45,4,26215,6553,0.6630535910365023,0.786562442779541
1,C3-C4,fbar_var,45,5,26215,6553,0.661225861752258,0.7763164043426514
1,C4-rest,fbar_var,45,1,52428,13108,0.6134676024819449,1.656609296798706
1,C4-rest,fbar_var,45,2,52429,13107,0.6070575789449759,1.6966359615325928
1,C4-rest,fbar_var,45,3,52429,13107,0.607613282997407,1.6399378776550293
1,C4-rest,fbar_var,45,4,52429,13107,0.6169211195138843,1.6555218696594238
1,C4-rest,fbar_var,45,5,52429,13107,0.6097496159148614,1.6668622493743896
1,4class,fbar_var,45,1,52428,13108,0.3149984742142203,1.9638192653656006
1,4class,fbar_var,45,2,52429,13107,0.3148039551571746,1.9661667346954346
1,4class,fbar_var,45,3,52429,13107,0.319749578313051,2.0054147243499756
1,4class,fbar_var,45,4,52429,13107,0.30998277948613623,1.9648611545562744
1,4class,fbar_var,45,5,52429,13107,0.317002442002442,1.9919257164001465
1,C1-C2,fbar,46,1,26214,6554,0.5001525785779677,1.6003367900848389
1,C1-C2,fbar,46,2,26214,6554,0.5013732072017089,1.6756360530853271
1,C1-C2,fbar,46,3,26214,6554,0.48901434238632896,1.5384142398834229
1,C1-C2,fbar,46,4,26215,6553,0.49992496822676863,1.5437867641448975
1,C1-C2,fbar,46,5,26215,6553,0.500227330903254,1.6843950748443604
1,C1-C3,fbar,46,1,26214,6554,0.4992371071101617,1.4361004829406738
1,C1-C3,fbar,46,2,26214,6554,0.5012206286237413,1.5745723247528076
1,C1-C3,fbar,46,3,26214,6554,0.5074763503204149,1.3871846199035645
1,C1-C3,fbar,46,4,26215,6553,0.5005335127016544,1.4133718013763428
1,C1-C3,fbar,46,5,26215,6553,0.5009907826889823,1.5234205722808838
1,C1-C4,fbar,46,1,26214,6554,0.5549282880683553,1.1857199668884277
1,C1-C4,fbar,46,2,26214,6554,0.5631675312786085,1.14949631690979
1,C1-C4,fbar,46,3,26214,6554,0.5575221238938053,1.1355595588684082
1,C1-C4,fbar,46,4,26215,6553,0.5548589849779962,1.1302673816680908
1,C1-C4,fbar,46,5,26215,6553,0.5478390197264167,1.2042605876922607
1,C2-C3,fbar,46,1,26214,6554,0.4983216356423558,1.994633436203003
1,C2-C3,fbar,46,2,26214,6554,0.4961855355508087,2.091878890991211
1,C2-C3,fbar,46,3,26214,6554,0.49847421422032345,2.0062451362609863
1,C2-C3,fbar,46,4,26215,6553,0.5046553233156834,2.0813190937042236
1,C2-C3,fbar,46,5,26215,6553,0.4958030644634246,1.9616577625274658
1,C2-C4,fbar,46,1,26214,6554,0.564235581324382,1.1275205612182617
1,C2-C4,fbar,46,2,26214,6554,0.5738480317363442,1.0494630336761475
