pixel,wavelength_angstrom,flux,absorption
106,1581.8452128022366,0.9987829692262312,0.001217030773768779
107,1581.8591257885173,0.9988009574608514,0.0011990425391485982
108,1581.8730388971671,0.9988278030854669,0.0011721969145330746
109,1581.8869521281886,0.9988605496436255,0.0011394503563745273
110,1581.900865481584,0.9988955900884543,0.0011044099115457007
111,1581.914778957352,0.9989295751692252,0.0010704248307747966
112,1581.9286925554943,0.9989600687760297,0.0010399312239702807
113,1581.9426062760128,0.9989858242236785,0.0010141757763214576
114,1581.9565201189098,0.9990065404225487,0.0009934595774513388
115,1581.9704340841831,0.9990227452337243,0.000977254766275748
116,1581.9843481718358,0.999036290184574,0.0009637098154260393
117,1581.99826238187,0.9990504748163573,0.0009495251836426633
118,1582.0121767142841,0.9990689600056966,0.0009310399943034398
119,1582.0260911690802,0.9990943334187061,0.0009056665812938736
120,1582.04000574626,0.9991275384364912,0.0008724615635088417
121,1582.053920445826,0.999167975873344,0.0008320241266559503
122,1582.0678352677755,0.9992135914759874,0.0007864085240125718
123,1582.081750212112,0.9992609506561605,0.000739049343839504
124,1582.0956652788377,0.99930537737699,0.0006946226230100105
125,1582.1095804679508,0.9993414341874135,0.0006585658125864979
126,1582.1234957794536,0.9993638998278758,0.0006361001721242321
127,1582.1374112133474,0.9993686582540304,0.0006313417459695714
128,1582.1513267696348,0.9993530641352338,0.0006469358647661627
129,1582.1652424483136,0.9993161594101446,0.0006838405898553779
130,1582.1791582493868,0.9992591590868171,0.0007408409131829385
131,1582.1930741728565,0.9991860815458475,0.0008139184541524624
132,1582.2069902187213,0.9991041050826821,0.0008958949173178965
133,1582.2209063869834,0.999023346458885,0.0009766535411149802
134,1582.234822677644,0.9989551457396395,0.0010448542603604949
135,1582.2487390907056,0.9989082342290053,0.0010917657709946793
136,1582.2626556261664,0.9988845883787807,0.0011154116212193088
137,1582.2765722840288,0.9988777452130115,0.0011222547869884636
138,1582.2904890642956,0.9988748296211221,0.0011251703788779377
139,1582.3044059669649,0.998861161547276,0.0011388384527240003
140,1582.318322992039,0.9988250974831578,0.0011749025168421579
141,1582.332240139519,0.9987612796931745,0.0012387203068254804
142,1582.3461574094079,0.9986710872943042,0.001328912705695795
143,1582.3600748017031,0.9985606603402762,0.0014393396597237595
144,1582.3739923164078,0.9984384611977379,0.0015615388022620635
145,1582.3879099535243,0.9983138590287816,0.0016861409712184416
146,1582.4018277130506,0.9981959248148453,0.0018040751851546855
147,1582.4157455949894,0.9980912405264709,0.001908759473529087
148,1582.429663599342,0.9980015843892992,0.001998415610700799
149,1582.4435817261106,0.9979233460491963,0.0020766539508036974
150,1582.4574999752933,0.9978495096331403,0.0021504903668596587
151,1582.4714183468927,0.9977735765999856,0.0022264234000144434
152,1582.4853368409117,0.997693567882982,0.002306432117017976
153,1582.499255457348,0.9976141050973093,0.0023858949026906995
154,1582.5131741962043,0.99754575411041,0.002454245889589979
155,1582.5270930574818,0.9975014274508649,0.002498572549135103
156,1582.5410120411832,0.9974908722941841,0.0025091277058159056
157,1582.554931147306,0.9975165435024774,0.0024834564975225737
158,1582.5688503758531,0.9975735246123195,0.0024264753876804823
159,1582.5827697268273,0.997652407742528,0.002347592257472053
160,1582.5966892002264,0.9977424154626466,0.002257584537353363
161,1582.610608796053,0.9978341416039187,0.0021658583960812994
162,1582.6245285143082,0.9979225637178577,0.0020774362821422976
163,1582.6384483549948,0.9980093553473545,0.0019906446526455346
