feedback_class,class_name,k_bin_idx,k_center_s_per_km,pk_mean,pk_sem,n_modes_in_bin,n_sightlines
2,StellarWind,17,0.5009958571140273,2.642771446443328e-07,2.63997483414021e-08,149,16384
2,StellarWind,18,0.7085151358233905,2.1593691824586096e-08,3.498364889556957e-09,213,16384
2,StellarWind,19,1.0019917142280546,1.5684819164177891e-09,7.905610413547221e-10,300,16384
3,WindAGN,0,0.0013838186246550594,1.099795643116318,0.16684615523018115,1,16384
3,WindAGN,1,0.0019570150668516686,0.0,0.0,0,16384
3,WindAGN,2,0.002767637249310119,0.7825822069045488,0.09732909485749841,1,16384
3,WindAGN,3,0.003914030133703338,0.5235219852242664,0.04460007688794582,1,16384
3,WindAGN,4,0.0055352744986202395,0.42329889133849996,0.01620699170205132,2,16384
3,WindAGN,5,0.007828060267406673,0.3565951326313198,0.0061980127050712645,2,16384
3,WindAGN,6,0.011070548997240472,0.2937532076962629,0.004190058718238339,4,16384
3,WindAGN,7,0.01565612053481335,0.2325769112198659,0.0031630327592741805,4,16384
3,WindAGN,8,0.02214109799448095,0.1695059916742967,0.0021469962256192745,7,16384
3,WindAGN,9,0.0313122410696267,0.10766690539773777,0.0012623650372021312,9,16384
3,WindAGN,10,0.0442821959889619,0.05528425759376723,0.0005741817511978096,14,16384
3,WindAGN,11,0.0626244821392534,0.022385158482704073,0.00020822189073069778,18,16384
3,WindAGN,12,0.08856439197792378,0.007266341398825963,6.460081505718781e-05,27,16384
3,WindAGN,13,0.12524896427850676,0.0014916038873851196,1.3642306492056719e-05,37,16384
3,WindAGN,14,0.17712878395584758,0.0002032174058905212,3.0556067745032746e-06,54,16384
3,WindAGN,15,0.2504979285570136,1.9409571976683858e-05,6.655517691849184e-07,74,16384
3,WindAGN,16,0.3542575679116952,1.9602615335422063e-06,1.3559797225087737e-07,107,16384
3,WindAGN,17,0.5009958571140273,1.996946346808408e-07,1.895039847354035e-08,149,16384
3,WindAGN,18,0.7085151358233905,1.4580131400120692e-08,1.6397157868478213e-09,213,16384
3,WindAGN,19,1.0019917142280546,5.442598289718054e-10,6.889520203954332e-11,300,16384
4,WindStrongAGN,0,0.0013838186246550594,0.6504582015150773,0.11372007928585663,1,16384
4,WindStrongAGN,1,0.0019570150668516686,0.0,0.0,0,16384
4,WindStrongAGN,2,0.002767637249310119,0.4864456935181401,0.055135351639336,1,16384
4,WindStrongAGN,3,0.003914030133703338,0.32733469765099094,0.013816222130443851,1,16384
4,WindStrongAGN,4,0.0055352744986202395,0.2696316678909603,0.006285207613858473,2,16384
4,WindStrongAGN,5,0.007828060267406673,0.23745722927277113,0.004698882254628701,2,16384
4,WindStrongAGN,6,0.011070548997240472,0.20064460924630767,0.003574131536484119,4,16384
4,WindStrongAGN,7,0.01565612053481335,0.16552585864438518,0.0027891292717174654,4,16384
4,WindStrongAGN,8,0.02214109799448095,0.12398412660466798,0.0019779639526463434,7,16384
4,WindStrongAGN,9,0.0313122410696267,0.07748811259096447,0.0011237918783455316,9,16384
4,WindStrongAGN,10,0.0442821959889619,0.03707812216837006,0.0004848313477712529,14,16384
4,WindStrongAGN,11,0.0626244821392534,0.013449913323197444,0.00016163619254271397,18,16384
4,WindStrongAGN,12,0.08856439197792378,0.004228200003295753,5.270079614247522e-05,27,16384
4,WindStrongAGN,13,0.12524896427850676,0.0008937417467810358,1.350569174076258e-05,37,16384
4,WindStrongAGN,14,0.17712878395584758,0.00013335236949706965,3.2351820173631025e-06,54,16384
4,WindStrongAGN,15,0.2504979285570136,1.6582463682185124e-05,7.978857780229373e-07,74,16384
4,WindStrongAGN,16,0.3542575679116952,1.968519555184715e-06,1.4743617956832794e-07,107,16384
4,WindStrongAGN,17,0.5009958571140273,2.0798225500981874e-07,2.1655541713112877e-08,149,16384
4,WindStrongAGN,18,0.7085151358233905,1.5464745386377346e-08,2.0384822829704176e-09,213,16384
4,WindStrongAGN,19,1.0019917142280546,5.706230683182634e-10,8.812952447352909e-11,300,16384
