regime,M,pair,n,pair_balanced_acc_median,pair_balanced_acc_p16,pair_balanced_acc_p84
per_sightline,4,C1-C3,50,0.46922255178339495,0.45463536947788097,0.48602139191702814
per_sightline,4,C1-C4,50,0.8788838505037726,0.8667089406853292,0.8890323289595384
per_sightline,4,C2-C3,50,0.40078919964868487,0.38379075654604444,0.4167755722571048
per_sightline,4,C2-C4,50,0.8359727335360478,0.8213675590529396,0.8478200304161878
per_sightline,4,C3-C4,50,0.7648536726093886,0.7478758880660753,0.780206426915913
per_sightline,16,C1-C2,50,0.6535854984566227,0.6321852286636276,0.6818099855146854
per_sightline,16,C1-C3,50,0.57057578285806,0.5463427858443506,0.6010935459485525
per_sightline,16,C1-C4,50,0.9630839512337201,0.9501507192301367,0.9743101715354956
per_sightline,16,C2-C3,50,0.4900567726618918,0.4651850076539349,0.51573152616535
per_sightline,16,C2-C4,50,0.9336166081902568,0.9162927963966755,0.9476546037693205
per_sightline,16,C3-C4,50,0.834390259655346,0.8079655306634472,0.8643249723211766
per_sightline,32,C1-C2,50,0.7754269032411073,0.7476649449267145,0.8131772379389691
per_sightline,32,C1-C3,50,0.6546093356187535,0.6222049717496153,0.6894108755441064
per_sightline,32,C1-C4,50,0.9765969737665021,0.9651982044730775,0.9885518020502141
per_sightline,32,C2-C3,50,0.5170252405050813,0.47438987265795685,0.5567226724853273
per_sightline,32,C2-C4,50,0.967949482381752,0.9497589079122195,0.982953244434484
per_sightline,32,C3-C4,50,0.8909640178434132,0.8523965011849964,0.9241020898965344
per_sightline,64,C1-C2,50,0.8800975027997453,0.8419306645805094,0.9068601583240113
per_sightline,64,C1-C3,50,0.8024304248033672,0.7406789863540932,0.8396003130206902
per_sightline,64,C1-C4,50,0.9893615969895935,0.9781834049516286,1.0
per_sightline,64,C2-C3,50,0.5531350311515012,0.5009931643149994,0.601303267343648
per_sightline,64,C2-C4,50,1.0,0.9799998263039985,1.0
per_sightline,64,C3-C4,50,0.9523806054424246,0.9255837842586786,0.9898284870022837
per_sightline,128,C1-C2,50,0.9473684390581775,0.9166666281481654,0.9775757178535387
per_sightline,128,C1-C3,50,0.8886506179213317,0.8363186081005073,0.9353333264000951
per_sightline,128,C1-C4,50,1.0,1.0,1.0
per_sightline,128,C2-C3,50,0.6090864792000117,0.540106869796918,0.6745961850246445
per_sightline,128,C2-C4,50,1.0,1.0,1.0
per_sightline,128,C3-C4,50,1.0,0.9731888041086064,1.0
per_sightline,256,C1-C2,50,1.0,1.0,1.0
per_sightline,256,C1-C3,50,0.98076925,0.9165737213223125,1.0
per_sightline,256,C1-C4,50,1.0,1.0,1.0
per_sightline,256,C2-C3,50,0.67788475,0.5988465295833175,0.763846395833327
per_sightline,256,C2-C4,50,1.0,1.0,1.0
per_sightline,256,C3-C4,50,1.0,1.0,1.0
