feedback_class,class_name,ew_center_angstrom,density,count
3,WindAGN,1.4018026601334783,5.831583858175881e-05,48
3,WindAGN,2.23945613239695,3.644739911359925e-05,30
3,WindAGN,3.5776531972430123,2.551317937951948e-05,21
3,WindAGN,5.71549592536265,2.065352616437291e-05,17
3,WindAGN,9.130816172459253,7.289479822719851e-06,6
3,WindAGN,14.586976364601897,1.2149133037866417e-06,1
4,WindStrongAGN,2.708004883758723e-07,1.6335998823808086e-06,1
4,WindStrongAGN,4.326185358299228e-07,8.167999411904043e-06,5
4,WindStrongAGN,6.911316839423453e-07,1.96031985885697e-05,12
4,WindStrongAGN,1.104120524176447e-06,4.737439658904344e-05,29
4,WindStrongAGN,1.7638926998018662e-06,0.00022707038365093237,139
4,WindStrongAGN,2.8179147006935846e-06,0.0005276527620090011,323
4,WindStrongAGN,4.501772279729356e-06,0.0006273023548342304,384
4,WindStrongAGN,7.191826513964919e-06,0.0007841279435427881,480
4,WindStrongAGN,1.1489334731537833e-05,0.0015927598853212883,975
4,WindStrongAGN,1.8354838276062105e-05,0.003350513358763038,2051
4,WindStrongAGN,2.9322854282904255e-05,0.007986669824959772,4889
4,WindStrongAGN,4.6844857490125815e-05,0.016737864394873764,10246
4,WindStrongAGN,7.483721237020211e-05,0.03121319295265011,19107
4,WindStrongAGN,0.00011955652456672027,0.05018418838673844,30720
4,WindStrongAGN,0.00019099806251153355,0.07003406055754764,42871
4,WindStrongAGN,0.00030512981215677056,0.08622140179205907,52780
4,WindStrongAGN,0.00048746150114064104,0.09642323305752722,59025
4,WindStrongAGN,0.0007787463093648895,0.09947643123769695,60894
4,WindStrongAGN,0.0012440896623228223,0.09470631958114499,57974
4,WindStrongAGN,0.001987501024769925,0.08459106910944303,51782
4,WindStrongAGN,0.003175141184025443,0.0718506236267551,43983
4,WindStrongAGN,0.00507246105176803,0.06111787239951319,37413
4,WindStrongAGN,0.00810353292356069,0.05172630667570592,31664
4,WindStrongAGN,0.01294583539884321,0.04280848491778909,26205
4,WindStrongAGN,0.020681677455356224,0.03409486314516985,20871
4,WindStrongAGN,0.03304010665898087,0.02962860106674072,18137
4,WindStrongAGN,0.05278337071029561,0.022952078347450357,14050
4,WindStrongAGN,0.08432431082310658,0.015069958914962957,9225
4,WindStrongAGN,0.13471268128780073,0.010453405647354794,6399
4,WindStrongAGN,0.21521084871737572,0.007730194643425985,4732
4,WindStrongAGN,0.3438110574512592,0.004979212441496704,3048
4,WindStrongAGN,0.549256898201198,0.0024356974246297854,1491
4,WindStrongAGN,0.877467823338897,0.0002450399823571213,150
4,WindStrongAGN,1.4018026601334783,4.737439658904344e-05,29
4,WindStrongAGN,2.23945613239695,5.5542396000947485e-05,34
4,WindStrongAGN,3.5776531972430123,2.4503998235712128e-05,15
4,WindStrongAGN,5.71549592536265,9.80159929428485e-06,6
4,WindStrongAGN,9.130816172459253,8.167999411904043e-06,5
4,WindStrongAGN,14.586976364601897,0.0,0
